iter	Passed	Remaining
464	746	859
465	748	858
466	750	856
467	751	853
468	752	851
469	753	849
470	754	847
471	755	845
472	757	843
473	758	841
474	759	839
475	760	837
476	761	835
477	763	834
478	765	832
479	766	830
480	767	828
481	768	826
482	769	823
483	770	821
484	772	819
485	773	817
486	774	815
487	775	813
488	777	812
489	779	811
490	781	809
491	782	807
492	783	805
493	784	804
494	786	802
495	787	800
496	788	797
497	789	796
498	790	794
499	791	791
500	793	790
501	795	788
502	796	786
503	797	785
504	804	788
505	806	787
506	807	785
507	809	784
508	811	782
509	812	780
510	813	778
511	814	776
512	816	774
513	817	772
514	818	770
515	819	768
516	820	766
517	822	765
518	823	763
519	825	762
520	826	760
521	828	758
522	829	756
523	830	754
524	831	752
525	833	750
526	834	748
527	835	747
528	837	745
529	839	744
530	841	742
531	842	741
532	844	739
533	847	739
534	848	737
535	849	735
536	850	733
537	851	731
538	853	729
539	854	727
540	856	726
541	857	725
542	859	723
543	860	721
544	862	719
545	863	718
546	864	716
547	866	714
548	867	712
549	868	710
550	872	710
551	873	708
552	874	707
553	876	705
554	877	703
555	879	702
556	880	700
557	881	698
558	883	696
559	884	694
560	886	693
561	887	692
562	889	690
563	890	688
564	891	686
565	893	684
566	894	682
567	895	681
568	896	679
569	898	677
570	899	675
571	902	674
572	903	673
573	904	671
574	906	669
575	907	668
576	908	666
577	910	664
578	911	662
579	912	660
580	913	658
581	916	657
582	917	656
583	918	654
584	920	652
585	921	650
586	922	649
587	924	647
588	925	645
589	926	644
590	928	642
591	929	640
592	931	639
593	933	638
594	935	636
595	936	634
596	937	632
597	938	631
598	939	629
599	941	627
600	943	626
601	945	624
602	948	624
603	950	623
604	952	621
605	954	620
606	955	618
607	956	616
608	958	615
609	959	613
610	960	611
611	963	610
612	964	608
613	965	607
614	967	605
615	968	604
616	970	602
617	973	601
618	974	600
619	978	599
620	980	598
621	981	596
622	982	594
623	983	592
624	985	591
625	986	589
626	987	587
627	989	585
628	990	584
629	991	582
630	993	581
631	995	579
632	997	578
633	998	576
634	999	574
635	1000	572
636	1002	571
637	1003	569
638	1004	567
639	1005	565
640	1008	564
641	1009	562
642	1010	561
643	1012	559
644	1013	557
645	1014	555
646	1015	554
647	1016	552
648	1018	550
649	1019	548
650	1020	547
651	1022	545
652	1024	544
653	1025	542
654	1026	540
655	1027	538
656	1028	537
657	1029	535
658	1031	533
659	1032	531
660	1033	530
661	1034	528
662	1035	526
663	1038	525
664	1039	523
665	1040	521
666	1041	520
667	1043	518
668	1044	516
669	1045	514
670	1046	513
671	1047	511
672	1049	509
673	1050	507
674	1051	506
675	1053	505
676	1055	503
677	1056	501
678	1058	500
679	1059	498
680	1060	496
681	1061	495
682	1062	493
683	1064	491
684	1065	489
685	1066	488
686	1068	486
687	1069	485
688	1071	483
689	1072	481
690	1073	480
691	1074	478
692	1075	476
693	1077	474
694	1078	473
695	1079	471
696	1080	469
697	1081	468
698	1083	466
699	1085	465
700	1086	463
701	1087	461
702	1088	459
703	1090	458
704	1091	456
705	1092	454
706	1093	453
707	1094	451
708	1095	449
709	1097	448
710	1099	446
711	1100	445
712	1101	443
