iter	RMSE
403	0.2813422818
404	0.2805183196
405	0.2798934859
406	0.2792702013
407	0.2784878492
408	0.2781604418
409	0.2776949741
410	0.2768214196
411	0.2761568132
412	0.2756978988
413	0.2748489551
414	0.2744471455
415	0.2739228901
416	0.273147145
417	0.2726292793
418	0.2722598102
419	0.2716965228
420	0.2707851424
421	0.2700228107
422	0.2691053258
423	0.2686874464
424	0.2678852183
425	0.2674712966
426	0.266600715
427	0.2659378021
428	0.2654229561
429	0.2650083822
430	0.2644014621
431	0.2639375246
432	0.2634395965
433	0.262662801
434	0.2623895724
435	0.262065464
436	0.2616812299
437	0.261425194
438	0.2610163968
439	0.2602471322
440	0.2597336669
441	0.2592003034
442	0.2583642295
443	0.2576063982
444	0.256822239
445	0.2561703525
446	0.2556056655
447	0.2551384464
448	0.2549056556
449	0.2542976462
450	0.2536608857
451	0.2533856145
452	0.2532284632
453	0.2529099451
454	0.2526592495
455	0.2519749031
456	0.2514030551
457	0.2509246329
458	0.2507004456
459	0.2499752332
460	0.2493734942
461	0.2491508079
462	0.2486839882
463	0.2480511615
464	0.2474434413
465	0.246995609
466	0.2466281591
467	0.246159165
468	0.245571677
469	0.2452964312
470	0.244850638
471	0.2446418187
472	0.244069468
473	0.2433361702
474	0.242730671
475	0.2423317933
476	0.2419578689
477	0.2414003627
478	0.2408068054
479	0.2404715244
480	0.2402178846
481	0.2399760069
482	0.2397646031
483	0.2395043471
484	0.2391113101
485	0.2385989363
486	0.2380397648
487	0.2373599123
488	0.2368869858
489	0.2362725099
490	0.2356509321
491	0.2355031744
492	0.2350045107
493	0.2347806246
494	0.2343817813
495	0.2340642927
496	0.2336476455
497	0.2332134733
498	0.2327876498
499	0.2325769431
500	0.2321327465
501	0.2316055332
502	0.2310908453
503	0.2306957357
504	0.2302524128
505	0.2296571962
506	0.2291472081
507	0.2285862715
508	0.2284390557
509	0.2282477762
510	0.2277455158
511	0.2272134071
512	0.2267431047
513	0.2260660276
514	0.2256138984
515	0.2252580747
516	0.2251209684
517	0.224518012
518	0.2239457984
519	0.2235630643
520	0.2234096997
521	0.223147749
522	0.2227593726
523	0.2226383598
524	0.2224223103
525	0.2222019996
526	0.2216404978
527	0.221151527
528	0.2207347703
529	0.2205399933
530	0.2203528939
531	0.2202519712
532	0.2195748904
533	0.219393807
534	0.2192149796
535	0.2190419511
536	0.2185468261
537	0.2182389223
538	0.217613926
539	0.2174403487
540	0.2169609665
541	0.2167241298
542	0.2161043681
543	0.215921566
544	0.2155650531
545	0.2152829066
546	0.2147743745
547	0.2142050229
548	0.2139897285
549	0.2137609338
550	0.213359433
551	0.2131389066
552	0.2127058857
553	0.2125734064
554	0.2124344089
555	0.2119992329
556	0.2115358163
557	0.2113199149
558	0.2111357181
559	0.2109223758
560	0.210480645
561	0.2098958235
562	0.2096192392
563	0.2091035528
564	0.2089409189
565	0.208589585
566	0.2083433736
567	0.2082347882
568	0.208148769
569	0.2077478271
570	0.2072254213
571	0.206948457
572	0.2067062357
573	0.2062379199
574	0.2059859388
575	0.2055692484
576	0.205133434
577	0.204928956
578	0.2046552013
579	0.2045586071
580	0.2042077084
581	0.2038091201
582	0.203588099
583	0.2032589106
584	0.2030561617
585	0.2026146995
586	0.2021901938
587	0.2017559057
588	0.201650254
589	0.2015186079
590	0.2011868292
591	0.2007251077
592	0.2003079635
593	0.1997657339
594	0.1993306915
595	0.1989335862
596	0.1986641041
597	0.1982112716
598	0.1980644149
599	0.1976110405
600	0.1972751697
601	0.1968347306
602	0.1965822651
603	0.1961175519
604	0.1957000036
605	0.1955030372
606	0.1950060361
607	0.1948148379
608	0.1946575578
609	0.1941594713
610	0.1938827239
611	0.19373725
612	0.193529635
613	0.193242535
614	0.1927486198
615	0.1926533742
616	0.1922860223
617	0.1918560346
618	0.1913644296
619	0.1913228576
620	0.1907894573
621	0.1903750121
622	0.1902620726
623	0.1901120565
624	0.1896579508
625	0.1892369774
626	0.188879557
627	0.1886545977
628	0.1885779826
629	0.1884650895
630	0.1881062182
631	0.1880431613
632	0.1875976121
633	0.1871859199
634	0.1870076376
635	0.1866875281
636	0.1863646727
637	0.1862082529
638	0.186076386
639	0.1856833949
640	0.1855096527
641	0.1853340728
642	0.1850774434
643	0.1847473854
644	0.1845244789
645	0.1841499249
646	0.183842456
647	0.1836743837
648	0.1835754706
649	0.1834902746
650	0.1830334955
651	0.1827807748
652	0.1826569218
653	0.1823341029
654	0.1820214366
655	0.1816201933
656	0.1814352123
657	0.1812411184
658	0.1810009089
659	0.1807627031
660	0.1803983872
661	0.1802135218
662	0.1798206619
663	0.1797026046
664	0.1794231616
665	0.1791056957
666	0.1789140254
667	0.1786246575
668	0.1782095785
669	0.1780442317
670	0.1776873914
671	0.1774118234
672	0.1770983251
673	0.176935918
674	0.1765503353
675	0.1762895816
676	0.1760606029
677	0.1757359828
678	0.1755516407
679	0.1752075867
680	0.1748488235
681	0.1747481084
682	0.17455594
683	0.1744346432
684	0.1741870913
685	0.1739025346
686	0.1735391756
687	0.1733768961
688	0.1731204619
689	0.1728490034
690	0.1725488305
691	0.1724166809
692	0.1720874526
693	0.1717229157
694	0.1714239747
695	0.1711196363
696	0.1710663618
697	0.1708177406
698	0.1706543658
699	0.1704493409
700	0.1703170185
701	0.1699127411
702	0.1697596804
703	0.1693880051
704	0.1693213616
705	0.1689719615
706	0.1687506698
707	0.1685640825
708	0.1683778943
709	0.1680482443
710	0.167952752
711	0.167553958
712	0.1672338611
713	0.1669359041
714	0.166685037
715	0.1664440186
716	0.1662804521
717	0.1660806802
718	0.1659262211
719	0.1656139029
720	0.1654119481
721	0.1651169097
722	0.1648599354
723	0.1646533974
724	0.1644112524
725	0.1641369682
726	0.1639991655
727	0.1636889835
728	0.1634688801
729	0.1632368204
730	0.1628389031
731	0.1624157605
732	0.1620992274
733	0.1617794023
734	0.1616640258
735	0.1613686925
736	0.1611059077
737	0.1609961891
738	0.1607150479
739	0.1605790159
740	0.1604651447
741	0.160073674
742	0.160003255
743	0.159865449
744	0.1596808601
745	0.1594908537
746	0.1592700681
747	0.1591340918
748	0.1588446952
749	0.1584905881
750	0.1583533709
751	0.1582540903
752	0.1579406796
753	0.1576984864
754	0.1574919556
755	0.1572504156
756	0.1571060004
757	0.1568768924
758	0.1566007845
759	0.1565391345
760	0.1564235412
761	0.1562699526
762	0.1560675078
763	0.1557781757
764	0.1554916456
765	0.1552131624
766	0.154985411
767	0.1548009135
768	0.1546806252
769	0.154329644
770	0.1542314137
771	0.1540982494
772	0.1539138722
773	0.1538057375
774	0.1535190923
775	0.1533620865
776	0.1531639294
777	0.1528763452
778	0.1526344286
779	0.1525302483
780	0.1523974783
781	0.1522827088
782	0.1522443015
783	0.1519949684
784	0.151853313
785	0.1517361105
786	0.1515370694
787	0.1512577129
788	0.1510915893
789	0.1507844776
790	0.1505395974
791	0.1504846107
792	0.1502466464
793	0.1499463658
794	0.1496548782
795	0.1493653799
796	0.1492006039
797	0.1490595259
798	0.1489633448
799	0.148666154
800	0.1484891871
801	0.1482874498
802	0.1481198128
803	0.1478031163
804	0.1475150946
805	0.1474080358
806	0.1471511064
807	0.1470478431
808	0.1469441606
809	0.1465935651
810	0.1462951111
811	0.1460495476
812	0.145842905
813	0.1456230964
814	0.1454953707
815	0.1453519946
816	0.1450961315
817	0.1448791471
818	0.1446776481
819	0.1444837336
820	0.1442010244
821	0.1439440883
822	0.143852652
823	0.1437525087
824	0.1435394061
825	0.1432520644
826	0.1431222795
827	0.1429029848
828	0.1426384122
829	0.1424597909
830	0.1423632307
831	0.1422412228
832	0.1421853757
833	0.1420855289
834	0.1418781525
835	0.1418442832
836	0.141609219
837	0.1414940949
838	0.1413044723
839	0.1410670791
840	0.1410200591
841	0.1407605529
842	0.1405253506
843	0.1403018123
844	0.1402498688
845	0.1401027619
846	0.1397726317
847	0.1395847416
848	0.1394705328
849	0.1392409344
850	0.1389849674
851	0.1388435901
852	0.1386593686
853	0.1385071427
854	0.1383167473
855	0.1382117577
856	0.1379884033
857	0.1377467514
858	0.1376508344
859	0.1376222709
860	0.1375744284
861	0.1374924363
862	0.1373133249
863	0.137165636
864	0.1369597782
865	0.1367290156
866	0.1365421828
867	0.1363375988
868	0.1361297518
869	0.1359453128
870	0.1356488238
871	0.1354805949
872	0.1352871132
873	0.1352599383
874	0.1350721343
875	0.1348169362
876	0.1345463376
877	0.1342704049
878	0.1340627475
879	0.1339001558
880	0.133753564
881	0.1335632507
882	0.1333626831
883	0.1331264312
884	0.1329824984
885	0.1328624977
886	0.1326689891
887	0.1324579647
888	0.1323131049
889	0.1321404304
890	0.1320030375
891	0.13185336
892	0.1317123457
893	0.1315347212
894	0.1314412139
895	0.1312755202
896	0.1310644109
897	0.1309108251
898	0.1308735614
899	0.1307095577
900	0.130602274
901	0.1305399192
902	0.1303676892
903	0.1301330953
904	0.1299298289
905	0.1297669614
906	0.1295608655
907	0.1293272074
908	0.1291642891
909	0.1291021373
910	0.1290282133
911	0.1287597033
912	0.128552497
913	0.128403085
914	0.1281932773
915	0.1280422965
916	0.127914525
917	0.1277558188
918	0.1276499053
919	0.1275710095
920	0.1273772789
921	0.1271683962
922	0.1270166666
923	0.1267860803
924	0.1265618694
925	0.1264695829
926	0.1262861185
927	0.126086054
928	0.1259911562
929	0.1259543448
930	0.1258396443
931	0.1257074129
932	0.1255286281
933	0.1253796608
934	0.1252254345
935	0.1250773191
936	0.1249011332
937	0.1247424102
938	0.1247362088
939	0.1246331558
940	0.1246107781
941	0.1244495562
942	0.1242736065
943	0.1241254344
944	0.1239827186
945	0.1237691825
946	0.1236819949
947	0.1235484947
948	0.1233795019
949	0.1231759258
950	0.1229405178
951	0.1227955207
952	0.1226998531
953	0.1226222964
954	0.1224616675
955	0.1222534057
956	0.1220844601
957	0.1219421016
958	0.1217116161
959	0.1216017615
960	0.121439018
961	0.1213880446
962	0.1212187572
963	0.1210205238
964	0.120943284
965	0.1207399168
966	0.1205732041
967	0.1204280331
968	0.1202593677
969	0.1201056538
970	0.1200433146
971	0.1200245939
972	0.1199001132
973	0.119774266
974	0.1197408819
975	0.1195890905
976	0.1194195151
977	0.1191949465
978	0.1190883796
979	0.1189016937
980	0.1187623607
981	0.1186092044
982	0.1184511858
983	0.1183747138
984	0.11817177
985	0.1180142301
986	0.1179327041
987	0.117735873
988	0.1175754768
989	0.1174478169
990	0.1172786206
991	0.1170874414
992	0.116896481
993	0.1166703071
994	0.1165310528
995	0.1164172634
996	0.1163906592
997	0.1163371203
998	0.1161720605
999	0.1159924558
